Statistics for file: Hamlet.txt
  There are a total of 32110 words in the file.
  Of those, 47 were ignored, leaving 32063 words to process.
  After processing, there are 4825 distinct words in the file

Statistics for file: KingLear.txt
  There are a total of 27818 words in the file.
  Of those, 15 were ignored, leaving 27803 words to process.
  After processing, there are 4191 distinct words in the file

The are 2051 common words in files Hamlet.txt and KingLear.txt.
The common words are:
    Word      Hamlet.txt    KingLear.txt
thrice              4              1
throat              4              1
throne              2              1
through             9              7
throughly           1              1
throw               5              3
throwing            1              3
thrown              2              2
thunder             2              7
thunders            1              1
thus               43             25
thy                86            161
thyself             5              5
till               20             20
time               46             29
times               7              1
tis                72             53
to                758            574
to't                8              2
toe                 2              1
together           12              4
told                5             11
tomb                1              1
tongue             15              5
tongues             3              2
too                51             34
took                5              7
top                 7              4
torches             1              3
touch               6              3
touches             1              1
toward              6              7
town                1              1
trade               2              3
traitorous          1              1
transform           1              1
treacherous         2              1
treachery           2              2
tread               1              1
treason             5              3
tree                2              2
tremble             2              2
trespass            1              1
trial               3              2
trick               3              1
tricks              3              1
trifle              1              3
trouble             2              4
true               24             16
truly               8              4
trumpet             5             13
trumpets            3              3
trust               2              7
truth               6              7
try                 6              1
tune                2              1
turk                1              1
turn                7             13
turn'd              4              2
turns               1              3
twain               2              4
twas                4              6
tween               1              2
twelve              5              1
twenty              4              6
twice               4              4
twill               4              2
twixt               2              4
two                26             23
twould              1              2
tyrannous           1              1
ugly                1              1
under               5              9
understand          7              3
understanding        3              1
undertake           2              1
undo                1              2
unfold              3              1
ungracious          1              1
unhappily           1              1
unkind              1              2
unknown             2              1
unless              3              1
unmannerly          1              1
unnatural           4              7
unsanctified        1              1
unseal              1              1
until               1              2
untimely            1              2
unto                8              3
up                 39             33
upon               55             48
us                 70             51
use                16             16
v                   3              4
vain                1              3
valiant             2              2
validity            1              1
valour              1              2
vantage             2              1
vengeance           2              4
verity              1              1
very               66             23
vi                  1              2
vicious             1              2
view                2              1
vii                 1              2
vile                5              7
villain            11             21
villanous           1              1
violent             4              2
virtue             13              7
virtues             2              2
virtuous            1              1
visage              5              2
visit               5              1
voice              12              5
vouchsafe           3              1
vow                 2              1
vows                6              1
vulgar              2              1
wail                1              1
waist               1              1
wake                1              3
walk                9              3
walks               2              1
wall                1              3
want                2              7
wanton              3              1
wants               2              1
war                 2              2
warlike             5              1
warrant             4              2
wars                2              1
was                84             51
waste               1              1
watch              15              1
water               6              8
wax                 2              1
way                11             27
ways                3              2
we                140             77
we'll              13             10
weak                2              3
weal                1              1
wealth              1              1
weapon              2              1
weapons             1              2
wear                4              9
wears               2              3
weary               2              4
wed                 3              1
weeds               4              3
weep                4              9
weeping             1              1
weight              1              1
welcome            17              7
well               78             68
went                5              1
were               27             30
what              208            137
what's             11             10
wheel               3              4
when               56             79
whence              1              1
where              54             43
where's             2             13
wherefore           3              7
wherein             8              4
whereof             2              5
whereto             4              2
whether             6              4
which              64             78
while              14              2
whiles              2              2
whilst              3              2
white               4             10
whither             1              2
who                44             67
who's               1              8
whole               7              1
wholesome           7              2
whom                6             11
whore               1              3
whoreson            2              5
whose              32             24
why                64             54
wicked              6              3
wide                4              2
widow               1              2
wife                8              7
wild                4              4
will              172            129
will't              1              1
wills               1              1
wilt                8              7
win                 3              1
wind               11             11
winds               3              5
wine                2              1
wing                1              1
winter's            1              1
wipe                2              2
wisdom              7             10
wise                2              9
wish                3              2
wishes              1              1
wit                 5              7
witch               1              1
with              278            206
withal              6              1
withdraw            3              1
within             23             18
without            19              8
witness             2              1
wits                4             10
woe                 8              3
woman               7              6
woman's             1              3
womb                1              1
women's             1              1
wonder              4              2
wont                3              2
wood                1              1
word               12             13
words              20              9
wore                1              1
work               10              5
working             2              1
world              25             20
world's             2              1
worm                3              2
worse               3              9
worser              1              2
worst               1              9
worth               3              9
worthy              1              2
would              80             64
wouldst             6              5
wounds              2              1
wrap                1              1
wrath               1              3
wretch              3              4
wretched            4              3
writ                5              4
write               1              4
writes              1              1
wrong               6              7
wrong'd             2              2
wrote               2              2
yard                1              1
ye                  4              5
yea                 4              3
year                5              4
years               3              5
yes                 5             11
yet                43             53
yield               2              3
yond                1              4
you               555            459
you'll              3              2
young              18             10
younger             1              2
your              242            225
yours               6              5
yourself           15              9
yourselves          1              1
youth              16              2
