Statistics for file: Hamlet.txt
  There are a total of 32110 words in the file.
  Of those, 47 were ignored, leaving 32063 words to process.
  After processing, there are 4825 distinct words in the file

Statistics for file: KingLear.txt
  There are a total of 27818 words in the file.
  Of those, 15 were ignored, leaving 27803 words to process.
  After processing, there are 4191 distinct words in the file

The are 2051 common words in files Hamlet.txt and KingLear.txt.
The common words are:
    Word      Hamlet.txt    KingLear.txt
defy                1              1
dejected            1              1
delay               2              2
delicate            2              3
deliver             3              2
deliver'd           1              1
delivered           1              1
demand              2              1
demanded            1              1
denied              1              1
deny                2              5
depart              1              2
deprive             1              1
desert              2              1
deserve             1              2
deserved            1              2
desire              7              4
desperate           4              2
despite             1              2
destroy             2              1
determine           1              2
devil               8              1
devise              1              1
did                66             23
didst               4              6
die                 7             11
dies                7              4
difference          2              4
differences         1              2
different           1              1
diligence           1              2
dirt                2              1
disasters           1              1
discord             1              1
discovery           1              1
discretion          4              1
disease             1              2
diseases            1              1
dislike             1              3
dispatch            2              4
disposition         5              5
distinguish         1              1
distract            1              1
distress            1              1
divide              2              1
divided             1              1
divine              1              1
divinity            2              1
do                151            116
do't                9              1
doctor              1             11
does               26             15
dog                 2             11
dogs                1              5
doing               1              2
dominions           1              1
done               22             15
doom                1              2
door                5              3
doors               3              3
dost               14             27
doth               28             18
double              6              1
doubt              10              1
doubtful            2              2
down               33             24
dowry               1              1
draw                9             18
draws               3              1
dread               5              4
dreadful            3              3
dream               6              1
drink              15              2
drinks              3              1
drive               2              2
drown'd             7              1
drum                3             10
drunkards           1              2
dry                 3              4
due                 1              4
duke's              1              3
dull                6              2
dust                7              3
duties              1              3
duty               13              9
e'en               11              1
e'er                1              4
each               11              6
ear                17              6
earnest             1              1
ears                9              1
earth              24              6
ease                4              1
easy                2              2
eat                 5              3
eats                2              2
effect              7              1
effects             2              6
eight               1              2
either              6              5
elder               1              1
eldest              1              2
election            3              1
element             1              1
else               18             11
em                  2              8
embrace             2              2
employment          2              2
empty               1              1
encounter           3              1
end                18              5
endeavour           1              1
ends                2              1
endure              1              5
enemies             2              2
enemy               3              4
enmity              1              1
enough              7              8
enter              73             79
entertainment        4              1
entreat             3              6
entreaty            2              1
ere                12             11
escape              2              1
